state,date,cum_covid_cases,cum_covid_deaths,cum_one_vax_dose,covid_cases,covid_deaths,one_vax_dose
Alabama,2020-01-26,0,0,0,0,0,0
Alabama,2020-02-02,0,0,0,0,0,0
Alabama,2020-02-09,0,0,0,0,0,0
Alabama,2020-02-16,0,0,0,0,0,0
Alabama,2020-02-23,0,0,0,0,0,0
Alabama,2020-03-01,0,0,0,0,0,0
Alabama,2020-03-08,0,0,0,0,0,0
Alabama,2020-03-15,28,0,0,28,0,0
Alabama,2020-03-22,180,0,0,152,0,0
Alabama,2020-03-29,880,10,0,700,10,0
Alabama,2020-04-05,1905,45,0,1025,35,0
Alabama,2020-04-12,3667,93,0,1762,48,0
Alabama,2020-04-19,4978,157,0,1311,64,0
Alabama,2020-04-26,6475,219,0,1497,62,0
Alabama,2020-05-03,7977,290,0,1502,71,0
Alabama,2020-05-10,9982,393,0,2005,103,0
Alabama,2020-05-17,12137,488,0,2155,95,0
Alabama,2020-05-24,14676,551,0,2539,63,0
Alabama,2020-05-31,18200,630,0,3524,79,0
Alabama,2020-06-07,20777,692,0,2577,62,0
Alabama,2020-06-14,26182,773,0,5405,81,0
Alabama,2020-06-21,30122,839,0,3940,66,0
Alabama,2020-06-28,36503,919,0,6381,80,0
Alabama,2020-07-05,44022,1007,0,7519,88,0
Alabama,2020-07-12,54781,1121,0,10759,114,0
Alabama,2020-07-19,67733,1287,0,12952,166,0
Alabama,2020-07-26,79948,1473,0,12215,186,0
Alabama,2020-08-02,91458,1627,0,11510,154,0
Alabama,2020-08-09,101466,1768,0,10008,141,0
Alabama,2020-08-16,107667,1898,0,6201,130,0
Alabama,2020-08-23,115485,2013,0,7818,115,0
Alabama,2020-08-30,124944,2162,0,9459,149,0
Alabama,2020-09-06,131690,2276,0,6746,114,0
Alabama,2020-09-13,137861,2351,0,6171,75,0
Alabama,2020-09-20,144325,2437,0,6464,86,0
Alabama,2020-09-27,151604,2506,0,7279,64,0
Alabama,2020-10-04,158717,2558,0,7113,57,0
Alabama,2020-10-11,165414,2664,0,6697,106,0
Alabama,2020-10-18,173002,2788,0,7588,124,0
Alabama,2020-10-25,184723,2866,0,11721,78,0
Alabama,2020-11-01,194458,2973,0,9735,107,0
Alabama,2020-11-08,204665,3084,0,10207,111,0
Alabama,2020-11-15,217822,3248,0,13157,164,0
Alabama,2020-11-22,232506,3457,0,14684,209,0
Alabama,2020-11-29,247229,3577,0,14723,120,0
Alabama,2020-12-06,269877,3889,0,22648,312,0
Alabama,2020-12-13,295631,4102,0,25754,213,0
Alabama,2020-12-20,322452,4389,0,26821,287,0
Alabama,2020-12-27,345628,4691,0,23176,302,0
Alabama,2021-01-03,371934,4873,0,26306,182,0
Alabama,2021-01-10,401900,5334,0,29966,461,0
Alabama,2021-01-17,422598,6120,0,20698,786,0
Alabama,2021-01-24,441170,6660,0,18572,540,0
Alabama,2021-01-31,459639,7688,0,18469,1028,0
Alabama,2021-02-07,472423,8515,0,12784,827,0
Alabama,2021-02-14,480931,9242,477491,8508,727,477491
Alabama,2021-02-21,486843,9592,574095,5912,350,96604
Alabama,2021-02-28,493252,9930,643208,6409,337,69113
Alabama,2021-03-07,499819,10149,721109,6567,219,77901
Alabama,2021-03-14,503673,10327,841394,3854,179,120285
Alabama,2021-03-21,511460,10436,960539,7787,109,119145
Alabama,2021-03-28,514391,10526,1098597,2931,90,138058
Alabama,2021-04-04,516809,10637,1234131,2418,111,135534
Alabama,2021-04-11,518899,10712,1371201,2090,75,137070
